Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, float, 55,36.514038085937500000, 33.389099121093750000,  ,  , 1581, 66.0, 44052
Python, float, 55,36.895812988281250000, 33.795043945312500000,  ,  , 1566, 64.5, 44048
Python, float, 55,36.643005371093750000, 33.554870605468750000,  ,  , 1574, 62.0, 44044
Python, float, 55,35.713317871093750000, 32.530090332031250000,  ,  , 1605, 66.8, 44052
Python, float, 55,35.937377929687500000, 32.964538574218750000,  ,  , 1567, 64.8, 43924
Python, float, 55,36.338928222656250000, 33.301330566406250000,  ,  , 1573, 64.5, 43916
Python, float, 55,35.320068359375000000, 32.330688476562500000,  ,  , 1583, 68.2, 44052
Python, float, 55,36.702087402343750000, 33.636962890625000000,  ,  , 1572, 64.0, 44048
Python, float, 55,37.053955078125000000, 34.016845703125000000,  ,  , 1566, 64.8, 44048
Python, float, 55,36.258239746093750000, 33.155212402343750000,  ,  , 1583, 67.5, 44052
