Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, chameleon, 55,38.171142578125000000, 34.862609863281250000,  ,  , 1646, 69.5, 43936
Python, chameleon, 55,37.881896972656250000, 34.690490722656250000,  ,  , 1630, 67.2, 44052
Python, chameleon, 55,37.806640625000000000, 34.785339355468750000,  ,  , 1617, 66.5, 43936
Python, chameleon, 55,38.228088378906250000, 35.157226562500000000,  ,  , 1624, 62.0, 44060
Python, chameleon, 55,37.771423339843750000, 34.504699707031250000,  ,  , 1644, 66.5, 43932
Python, chameleon, 55,39.725158691406250000, 36.343872070312500000,  ,  , 1627, 63.0, 44052
Python, chameleon, 55,38.061950683593750000, 34.855590820312500000,  ,  , 1630, 69.5, 44048
Python, chameleon, 55,38.916564941406250000, 35.577941894531250000,  ,  , 1622, 65.5, 43936
Python, chameleon, 55,39.440612792968750000, 36.326293945312500000,  ,  , 1625, 67.0, 43936
Python, chameleon, 55,38.196289062500000000, 35.119079589843750000,  ,  , 1615, 66.0, 44064
