Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, luindex, 55,630.851928710937500000, 585.452209472656250000,  ,  , 21137, 64.8, 225804
Java, luindex, 55,601.471191406250000000, 563.068603515625000000,  ,  , 20264, 65.0, 251196
Java, luindex, 55,615.462280273437500000, 577.786560058593750000,  ,  , 19902, 64.8, 248264
Java, luindex, 55,602.537719726562500000, 564.552368164062500000,  ,  , 20069, 63.0, 347716
Java, luindex, 55,591.254882812500000000, 553.512390136718750000,  ,  , 19535, 67.5, 268748
Java, luindex, 55,602.525939941406250000, 564.767028808593750000,  ,  , 19439, 67.0, 268240
Java, luindex, 55,596.868530273437500000, 559.682861328125000000,  ,  , 19202, 68.0, 410612
Java, luindex, 55,601.035705566406250000, 561.256408691406250000,  ,  , 19701, 67.8, 261992
Java, luindex, 55,606.454528808593750000, 568.709533691406250000,  ,  , 19430, 62.8, 270596
Java, luindex, 55,574.749755859375000000, 535.495910644531250000,  ,  , 20428, 66.2, 342068
