Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, nbody, 15,36.696533203125000000, 33.562927246093750000,  ,  , 1599, 59.5, 44180
Python, nbody, 15,36.442382812500000000, 33.224182128906250000,  ,  , 1614, 65.2, 43920
Python, nbody, 15,37.103820800781250000, 34.175964355468750000,  ,  , 1584, 63.5, 44044
Python, nbody, 15,35.856628417968750000, 32.900207519531250000,  ,  , 1596, 64.5, 44056
Python, nbody, 15,36.170715332031250000, 33.170959472656250000,  ,  , 1600, 64.0, 44052
Python, nbody, 15,37.208984375000000000, 34.186706542968750000,  ,  , 1584, 63.2, 44056
Python, nbody, 15,36.920043945312500000, 33.831237792968750000,  ,  , 1598, 60.2, 43920
Python, nbody, 15,36.907348632812500000, 33.813720703125000000,  ,  , 1588, 66.8, 43924
Python, nbody, 15,36.932678222656250000, 33.868347167968750000,  ,  , 1593, 64.5, 43792
Python, nbody, 15,36.318725585937500000, 33.278381347656250000,  ,  , 1595, 64.8, 43924
