Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, 2to3, 55,38.660278320312500000, 35.062316894531250000,  ,  , 1858, 65.8, 44172
Python, 2to3, 55,40.913818359375000000, 37.265197753906250000,  ,  , 1814, 69.0, 44036
Python, 2to3, 55,41.719604492187500000, 38.192626953125000000,  ,  , 1809, 64.0, 43920
Python, 2to3, 55,40.779418945312500000, 37.286560058593750000,  ,  , 1816, 66.5, 44048
Python, 2to3, 55,39.204589843750000000, 35.637695312500000000,  ,  , 1852, 67.2, 44176
Python, 2to3, 55,40.869628906250000000, 37.339294433593750000,  ,  , 1825, 63.5, 44040
Python, 2to3, 55,40.515747070312500000, 36.945983886718750000,  ,  , 1820, 65.2, 43924
Python, 2to3, 55,41.774963378906250000, 38.169982910156250000,  ,  , 1803, 62.5, 44200
Python, 2to3, 55,41.568298339843750000, 37.886840820312500000,  ,  , 1830, 63.8, 43932
Python, 2to3, 55,41.189270019531250000, 37.723876953125000000,  ,  , 1800, 64.8, 44048
