Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, h20, 25,276.979003906250000000, 252.132019042968750000,  ,  , 11172, 61.5, 793316
Java, h20, 25,279.159973144531250000, 254.512329101562500000,  ,  , 11120, 58.2, 770496
Java, h20, 25,273.985107421875000000, 248.710571289062500000,  ,  , 11233, 61.0, 751344
Java, h20, 25,279.225341796875000000, 254.455566406250000000,  ,  , 11234, 63.0, 802572
Java, h20, 25,286.082763671875000000, 259.799072265625000000,  ,  , 11710, 61.0, 748432
Java, h20, 25,277.376464843750000000, 252.084472656250000000,  ,  , 11373, 63.2, 788052
Java, h20, 25,276.052001953125000000, 250.844909667968750000,  ,  , 11326, 60.5, 824788
Java, h20, 25,277.118103027343750000, 251.464965820312500000,  ,  , 11000, 61.2, 782732
Java, h20, 25,272.998352050781250000, 248.022888183593750000,  ,  , 11213, 60.2, 766348
Java, h20, 25,288.698303222656250000, 261.974853515625000000,  ,  , 11768, 61.2, 808012
