Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, json_dumps, 25,99.404052734375000000, 57.689453125000000000, 0.147033691406250000, 5.799865722656250000, 6876, 55.8, 45860
Python, json_dumps, 25,99.901428222656250000, 58.051757812500000000, 0.165039062500000000, 5.769287109375000000, 6832, 51.5, 45832
Python, json_dumps, 25,99.135986328125000000, 57.567443847656250000, 0.049865722656250000, 5.691833496093750000, 6798, 52.0, 45752
Python, json_dumps, 25,100.109802246093750000, 58.149841308593750000, 0.162048339843750000, 5.775390625000000000, 6835, 54.2, 45840
Python, json_dumps, 25,99.533081054687500000, 57.875183105468750000, 0.143615722656250000, 5.743896484375000000, 6818, 51.5, 45764
Python, json_dumps, 25,98.874938964843750000, 57.362976074218750000, 0.144653320312500000, 5.769470214843750000, 6886, 52.8, 45780
Python, json_dumps, 25,99.484985351562500000, 57.837585449218750000, 0.173339843750000000, 5.767272949218750000, 6811, 55.5, 45984
Python, json_dumps, 25,99.705810546875000000, 58.040466308593750000, 0.152587890625000000, 5.726135253906250000, 6788, 53.0, 45648
Python, json_dumps, 25,99.406311035156250000, 57.780334472656250000, 0.170349121093750000, 5.763610839843750000, 6832, 52.8, 45824
Python, json_dumps, 25,98.789733886718750000, 57.409179687500000000, 0.084655761718750000, 5.709045410156250000, 6808, 54.8, 45728
