Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, batik, 47,94.555480957031250000, 65.366455078125000000, 0.098449707031250000, 5.783386230468750000, 4659, 52.8, 475060
Java, batik, 47,93.789611816406250000, 66.033386230468750000, 0.107788085937500000, 5.497131347656250000, 4266, 54.2, 413804
Java, batik, 47,93.821777343750000000, 65.382446289062500000, 0.118286132812500000, 5.565185546875000000, 4411, 54.5, 484920
Java, batik, 47,92.954406738281250000, 64.946838378906250000, 0.121215820312500000, 5.550476074218750000, 4338, 54.8, 466136
Java, batik, 47,97.707153320312500000, 68.398193359375000000, 0.124145507812500000, 5.827331542968750000, 4537, 54.2, 430232
Java, batik, 47,92.506591796875000000, 64.313232421875000000, 0.127197265625000000, 5.579528808593750000, 4389, 53.8, 443356
Java, batik, 47,91.700439453125000000, 63.675231933593750000, 0.125061035156250000, 5.549072265625000000, 4345, 54.0, 382428
Java, batik, 47,94.051330566406250000, 65.608642578125000000, 0.111022949218750000, 5.549133300781250000, 4412, 53.8, 415484
Java, batik, 47,96.435607910156250000, 67.412780761718750000, 0.104492187500000000, 5.715454101562500000, 4485, 53.8, 425408
Java, batik, 47,93.988525390625000000, 65.989013671875000000, 0.106384277343750000, 5.607360839843750000, 4319, 55.2, 425624
